dataset_group	source	target	effect_mean	delta_primary	delta_secondary	consistency_score
dixit_13d_7d_dual_agreement	IRF1	BLVRB	0.0047607421875	0.6549158660906436	0.8355087051592065	0.0026050205546092457
adamson_single_dataset_agreement	SRPRA	GPANK1	0.0738067626953125	0.343876302242279		0.025380396636137444
adamson_single_dataset_agreement	IARS2	CD63	0.0306453704833984	0.5694069862365723		0.01744968804905509
adamson_single_dataset_agreement	MARS1	HBA1	-0.0195743560791015	-0.7328430414199829		0.014344930642846476
adamson_single_dataset_agreement	SRPRB	MANF	-0.0217586517333984	-0.5991291403770447		0.013036242308794478
adamson_single_dataset_agreement	UFM1	HNRNPH3	-0.0344978332519531	-0.3402702212333679		0.011738585352713918
adamson_single_dataset_agreement	HSPA9	CYTOR	-0.0777942657470703	-0.1319776773452758		0.010267106504079485
adamson_single_dataset_agreement	TMED2	H1-10	0.0491046905517578	0.1988011598587036		0.009762069436192174
adamson_single_dataset_agreement	DDOST	SLC25A6	0.0268814086914062	0.360959529876709		0.00970310064367366
adamson_single_dataset_agreement	P4HB	CDC45	-0.0685752868652343	-0.127963900566101		0.008775161189714694
adamson_single_dataset_agreement	SAMM50	IDH3A	-0.0881967544555664	-0.0915234386920929		0.008072070249255603
adamson_single_dataset_agreement	IDH3A	ALDOA	-0.0202589035034179	-0.3677165508270263		0.007449534119814389
adamson_single_dataset_agreement	SEC61G	RBCK1	-0.0755779266357421	-0.0205931663513183		0.0015563888156975673
adamson_single_dataset_agreement	DARS1	PHGDH	0.0027076721191406	0.4485127627849579		0.0012144255028715522
adamson_single_dataset_agreement	CHERP	RPL17	-0.0028400421142578	-0.122387945652008		0.00034758691992919753
adamson_single_dataset_agreement	OST4	JPT1	-0.0223148345947265	-0.0146898031234741		0.00032780052692942126
shifrut_single_dataset_agreement	CDKN1B	RPL19	0.0030288696289062	4.3173980712890625		0.013076835894025647
