source	target	effect_mean	delta	baseline_expr	composition_shift	n_cells
ATP5F1B	FXYD5	-0.0009075164794921	0.4514855146408081	1.3039190769195557	0.0	547.0
ATP5F1B	MAT2A	0.0004283905029296	0.37020236253738403	0.8017770648002625	0.0	547.0
ATP5F1B	RPS29	-0.002835464477539	-0.5691187381744385	2.2180094718933105	0.0	547.0
BHLHE40	RPS27	-5.760192871093751e-05	0.7097418308258057	3.2363388538360596	0.0	504.0
CCL13	ATP6AP2	-0.0059566497802734	0.17693781852722168	0.5198045372962952	0.0	1024.0
CHERP	RPL17	0.0010156631469726	-0.12238794565200806	0.6201614141464233	0.0	404.0
DARS1	LGALS1	0.0037948608398437	0.10455572605133057	0.8713473081588745	0.0	550.0
DARS1	PHGDH	0.0026592254638671	0.4485127627849579	0.4206394851207733	0.0	550.0
DDIT3	RPL38	0.0005958557128906	0.5006239414215088	2.4461777210235596	0.0	435.0
DDOST	SLC25A6	0.0004806518554687	0.360959529876709	2.1991565227508545	0.0	318.0
DERL2	PDIA3	0.0278263092041015	0.4516599178314209	1.1914938688278198	0.0	542.0
EIF2B3	FXYD5	0.0004299163818359	0.5530531406402588	1.3039190769195557	0.0	346.0
HSPA5	RPS29	-0.0028957366943359	-0.6415348052978516	2.2180094718933105	0.0	1002.0
HSPA9	CYTOR	0.0003059387207031	-0.13197767734527588	1.171879529953003	0.0	718.0
IARS2	CD63	-0.0049896240234375	0.5694069862365723	2.566251039505005	0.0	923.0
IARS2	SLC3A2	0.0	0.3343393802642822	1.3985639810562134	0.0	923.0
IDH3A	ALDOA	0.0085725784301757	-0.36771655082702637	2.669558048248291	0.0	540.0
IDH3A	SH3BGRL3	0.0024900436401367	0.47645998001098633	1.4234200716018677	0.0	540.0
MARS1	HBA1	-0.0001888275146484	-0.7328430414199829	1.9003565311431885	0.0	434.0
NEDD8	DDRGK1	-0.0001148223876953	0.00398409366607666	0.8111005425453186	0.0	389.0
OST4	CITED2	0.0002590179443359	0.5335689783096313	1.3263238668441772	0.0	524.0
OST4	JPT1	0.0009063720703125	-0.014689803123474121	1.4204658269882202	0.0	524.0
P4HB	CDC45	-0.0005546569824218	-0.12796390056610107	1.1931496858596802	0.0	471.0
SAMM50	IDH3A	0.008218765258789	-0.0915234386920929	0.3550581932067871	0.0	672.0
SEC61G	RBCK1	-0.0012271881103515	-0.02059316635131836	0.6416976451873779	0.0	530.0
SEC61G	SMIM1	-0.0016117095947265	0.0834360271692276	0.2133009284734726	0.0	530.0
SRPRA	GPANK1	6.67572021484375e-05	0.34387630224227905	0.670447051525116	0.0	506.0
SRPRB	MANF	-0.0006488800048828	-0.5991291403770447	1.143772006034851	0.0	596.0
TELO2	EIF4A2	0.0	-0.00881505012512207	1.4907760620117188	0.0	562.0
TMED2	H1-10	-0.0005535125732421	0.1988011598587036	1.0707610845565796	0.0	450.0
UFM1	HNRNPH3	-0.0004837036132812	-0.3402702212333679	1.0795027017593384	0.0	591.0
