source	target	effect_mean	delta	baseline_expr	composition_shift	n_cells
ARID1A	RPL23A	0.0	1.867166519165039	27.712020874023438	0.0	625.0
ARID1A	RPL26	0.0	2.076833724975586	25.35995864868164	0.0	625.0
ARID1A	RPS27	0.0	2.3990116119384766	28.285776138305664	0.0	625.0
ARID1A	TMSB4X	0.0	2.2003631591796875	192.7436065673828	0.0	625.0
BTLA	MRPS12	0.0	4.199619293212891	37.00647735595703	0.0	1412.0
BTLA	PTMA	0.0	2.7660694122314453	21.618444442749023	0.0	1412.0
BTLA	RPL23A	0.0	2.5542373657226562	27.712020874023438	0.0	1412.0
BTLA	RPL3	0.0	3.129396438598633	28.20203399658203	0.0	1412.0
BTLA	RPS23	0.0	3.535329818725586	31.816621780395508	0.0	1412.0
CBLB	MALAT1	0.0	-3.9864730834960938	123.58633422851562	0.0	1327.0
CBLB	RPL19	0.0	5.529930114746094	31.414310455322266	0.0	1327.0
CBLB	RPS18	0.0	8.481063842773438	47.57393264770508	0.0	1327.0
CD5	RPL15	0.0	4.316448211669922	28.14281463623047	0.0	1080.0
CD5	RPL7	0.0	4.014806747436523	26.489816665649414	0.0	1080.0
CD5	RPLP1	0.0	7.995601654052734	62.50723648071289	0.0	1080.0
CD5	RPS27	0.0	1.7632884979248047	28.285776138305664	0.0	1080.0
CD5	TMSB10	0.0	4.5843658447265625	45.39989471435547	0.0	1080.0
CDKN1B	MRPS12	-0.0002454121907552	3.516986846923828	37.00647735595703	0.0	749.0
CDKN1B	RPL19	0.0030288696289062	4.3173980712890625	31.414310455322266	0.0	749.0
CDKN1B	RPLP1	-9.72747802734375e-05	8.35672378540039	62.50723648071289	0.0	749.0
CDKN1B	RPS27	-0.0048751831054687	2.077486038208008	28.285776138305664	0.0	749.0
HAVCR2	RPL23A	0.0	1.9233760833740234	27.712020874023438	0.0	1355.0
HAVCR2	RPS18	0.0	3.3301162719726562	47.57393264770508	0.0	1355.0
HAVCR2	RPS23	0.0	1.9767208099365234	31.816621780395508	0.0	1355.0
MEF2D	PTMA	0.0	3.407787322998047	21.618444442749023	0.0	1026.0
MEF2D	RPL15	0.0	3.770334243774414	28.14281463623047	0.0	1026.0
MEF2D	RPLP1	0.0	8.037837982177734	62.50723648071289	0.0	1026.0
MEF2D	RPS8	0.0	4.445295333862305	29.4113712310791	0.0	1026.0
PDCD1	RPS8	0.0	3.269235610961914	29.4113712310791	0.0	1484.0
RASA2	RPL15	0.0	5.459403991699219	28.14281463623047	0.0	905.0
RASA2	RPL26	0.0	4.145013809204102	25.35995864868164	0.0	905.0
RASA2	RPL7	0.0	4.410734176635742	26.489816665649414	0.0	905.0
RASA2	RPS24	0.0	4.411109924316406	22.268457412719727	0.0	905.0
RASA2	TMSB10	0.0	7.998981475830078	45.39989471435547	0.0	905.0
STAT6	MALAT1	0.0	-0.28740692138671875	123.58633422851562	0.0	572.0
STAT6	RPL26	0.0	2.2798938751220703	25.35995864868164	0.0	572.0
STAT6	RPL3	0.0	3.264749526977539	28.20203399658203	0.0	572.0
STAT6	RPL32	0.0	3.044496536254883	29.25269889831543	0.0	572.0
STAT6	RPS18	0.0	5.036205291748047	47.57393264770508	0.0	572.0
STAT6	RPS8	0.0	3.6025943756103516	29.4113712310791	0.0	572.0
